시도,날짜,일조시간
대전,2020-06,209.7
대전,2020-07,95.9
대전,2020-08,176.8
대전,2020-09,196.3
대전,2020-10,224.1
대전,2020-11,173.3
대전,2020-12,186.5
대전,2021-01,175.5
대전,2021-02,205.4
대전,2021-03,208.5
대전,2021-04,228.7
대전,2021-05,203.1
대전,2021-06,217.7
대전,2021-07,232.1
대전,2021-08,152.70000000000002
대전,2021-09,167.5
대전,2021-10,211.0
대전,2021-11,180.0
대전,2021-12,172.1
대전,2022-01,208.1
대전,2022-02,207.4
대전,2022-03,172.9
대전,2022-04,250.3
대전,2022-05,310.9
대전,2022-06,177.7
대전,2022-07,162.2
대전,2022-08,115.7
대전,2022-09,184.7
대전,2022-10,215.6
대전,2022-11,183.9
대전,2022-12,153.5
대전,2023-01,192.5
대전,2023-02,177.3
대전,2023-03,253.4
대전,2023-04,202.5
대전,2023-05,226.3
대전,2023-06,229.5
대전,2023-07,147.9
대전,2023-08,186.4
대전,2023-09,157.5
대전,2023-10,227.8
대전,2023-11,167.7
대전,2023-12,141.1
대전,2024-01,144.4
대전,2024-02,103.4
대전,2024-03,212.2
대전,2024-04,211.3
대전,2024-05,283.5
대전,2024-06,270.2
대전,2024-07,124.1
대전,2024-08,241.0
대전,2024-09,195.6
대전,2024-10,147.0
대전,2024-11,181.2
대전,2024-12,167.3
부산,2020-01,184.8
부산,2020-02,207.7
부산,2020-03,243.0
부산,2020-04,262.4
부산,2020-05,215.1
부산,2020-06,231.2
부산,2020-07,86.9
부산,2020-08,206.0
부산,2020-09,159.6
부산,2020-10,219.8
부산,2020-11,197.3
부산,2020-12,227.6
부산,2021-01,201.5
부산,2021-02,204.8
부산,2021-03,215.3
부산,2021-04,242.8
부산,2021-05,190.8
부산,2021-06,208.0
부산,2021-07,193.8
부산,2021-08,154.4
부산,2021-09,95.2
부산,2021-10,215.9
부산,2021-11,221.0
부산,2021-12,231.1
부산,2022-01,233.79999999999998
부산,2022-02,242.8
부산,2022-03,190.1
부산,2022-04,233.6
부산,2022-05,293.6
부산,2022-06,174.2
부산,2022-07,193.8
부산,2022-08,163.6
부산,2022-09,135.1
부산,2022-10,210.3
부산,2022-11,195.6
부산,2022-12,224.7
부산,2023-01,188.0
부산,2023-02,176.0
부산,2023-03,211.60000000000002
부산,2023-04,213.55
부산,2023-05,192.05
부산,2023-06,195.95
부산,2023-07,138.0
부산,2023-08,207.6
부산,2023-09,148.25
부산,2023-10,232.2
부산,2023-11,179.60000000000002
부산,2023-12,143.3
부산,2024-01,200.45
부산,2024-02,97.55
부산,2024-03,207.3
부산,2024-04,178.7
부산,2024-05,262.0
부산,2024-06,187.8
부산,2024-07,153.85
부산,2024-08,254.60000000000002
부산,2024-09,182.65
부산,2024-10,133.7
부산,2024-11,173.14999999999998
부산,2024-12,234.5
서울,2020-01,177.9
서울,2020-02,185.0
서울,2020-03,262.9
서울,2020-04,283.3
서울,2020-05,177.9
서울,2020-06,206.1
서울,2020-07,119.4
서울,2020-08,74.7
서울,2020-09,174.3
서울,2020-10,227.1
서울,2020-11,171.5
서울,2020-12,203.6
서울,2021-01,176.4
서울,2021-02,181.0
서울,2021-03,213.0
서울,2021-04,208.6
서울,2021-05,203.7
서울,2021-06,185.5
서울,2021-07,195.2
서울,2021-08,127.3
서울,2021-09,182.0
서울,2021-10,168.4
서울,2021-11,163.6
서울,2021-12,185.4
서울,2022-01,206.9
서울,2022-02,203.79999999999998
서울,2022-03,173.0
서울,2022-04,246.4
서울,2022-05,302.3
서울,2022-06,131.9
서울,2022-07,140.1
서울,2022-08,116.3
서울,2022-09,203.9
서울,2022-10,216.0
서울,2022-11,187.5
서울,2022-12,197.1
서울,2023-01,190.9
서울,2023-02,198.2
서울,2023-03,239.8
서울,2023-04,182.3
서울,2023-05,235.6
서울,2023-06,195.1
서울,2023-07,146.1
서울,2023-08,156.1
서울,2023-09,157.1
서울,2023-10,208.7
서울,2023-11,171.9
서울,2023-12,142.2
서울,2024-01,177.4
