지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
보령,2023.8.9,신보령태양광,4.038,12.115061,29,0.1,2.8,67.4,5.4,
보령,2023.8.10,신보령태양광,4.038,2.742697,22.8,40,2.9,93,0,
보령,2023.8.11,신보령태양광,4.038,7.57363,25.1,16.4,3.1,89.6,0,
보령,2023.8.12,신보령태양광,4.038,13.990691,25.4,11.1,1.9,86.9,4.3,
보령,2023.8.13,신보령태양광,4.038,21.288081,27,,1.2,78.6,9.8,
보령,2023.8.14,신보령태양광,4.038,19.889977,27.3,,1.1,79.5,9.3,
보령,2023.8.15,신보령태양광,4.038,19.465481,27.1,,0.7,80.9,9.2,
보령,2023.8.16,신보령태양광,4.038,21.591567,26.3,,0.7,81.8,10,
보령,2023.8.17,신보령태양광,4.038,20.90698,26.1,,0.9,78.6,11.1,
보령,2023.8.18,신보령태양광,4.038,19.633737,26.8,,0.6,78.5,10.8,
보령,2023.8.19,신보령태양광,4.038,20.091739,27.3,,0.7,76.4,9.4,
보령,2023.8.20,신보령태양광,4.038,17.685307,27.2,,0.4,78.3,9.3,
보령,2023.8.21,신보령태양광,4.038,19.138614,28.4,,1.7,74,10.2,
보령,2023.8.22,신보령태양광,4.038,17.39436,28.2,0.3,3.2,74.9,6.1,
보령,2023.8.23,신보령태양광,4.038,2.695691,24.9,16.9,1.2,93.1,0,
보령,2023.8.24,신보령태양광,4.038,17.244665,25.3,3.9,0.6,89,3.9,
보령,2023.8.25,신보령태양광,4.038,19.309523,25.7,,0.5,82.4,10,
보령,2023.8.26,신보령태양광,4.038,18.414012,24.9,,0.8,81.9,9.9,
보령,2023.8.27,신보령태양광,4.038,12.03648,25.8,0,1.2,79.4,4.1,
보령,2023.8.28,신보령태양광,4.038,5.458878,27.1,0.4,1.9,72.3,0.1,
보령,2023.8.29,신보령태양광,4.038,2.425952,24.3,8.3,2.2,89.5,0,
보령,2023.8.30,신보령태양광,4.038,2.79187,22,10.4,0.4,97,0,
보령,2023.8.31,신보령태양광,4.038,16.849335,22.9,,0.7,84,7.4,
보령,2023.9.1,신보령태양광,4.038,21.407406,23.5,,1.4,70.8,10.5,
보령,2023.9.2,신보령태양광,4.038,21.027505,25,0,1.2,73.5,9.9,
보령,2023.9.3,신보령태양광,4.038,18.950594,27,0.2,0.9,78.8,8.5,
보령,2023.9.4,신보령태양광,4.038,10.171694,27.1,,1.1,83.1,2.5,
보령,2023.9.5,신보령태양광,4.038,15.131596,27.3,,1.1,72.9,5,
보령,2023.9.6,신보령태양광,4.038,17.879116,25.9,1.1,0.8,82.3,9,
보령,2023.9.7,신보령태양광,4.038,21.822739,26.3,,1.6,55.3,10.7,
보령,2023.9.8,신보령태양광,4.038,21.954108,24.2,,1.1,61.3,10.7,
보령,2023.9.9,신보령태양광,4.038,20.174902,23.7,,0.7,74.4,10.5,
